ID,Num. Funko,Nombre,Linea,Colección/ Serie,Nombre C/S,Exclusivo,Motivo,Precio ,Stock bruto,Stock neto,Imagen
DS299S,299,Darth Maul,Star Wars,Colección,Return of the Jedi,1,Star Wars Celebration,160,1,1,https://photos.app.goo.gl/WoQ7xRnQVx9T5ZoN7
TS326,326,The Mandalorian,Star Wars,Colección,The Mandalorian,0,null,58,5,5,https://photos.app.goo.gl/rd3FkHQukqwxDb917
IS328,328,IG-11,Star Wars,Colección,The Mandalorian,0,null,50,3,3,https://photos.app.goo.gl/JCeUKx8RXf2FDbjv6
TS346,346,The client,Star Wars,Colección,The Mandalorian,0,null,30,7,7,https://photos.app.goo.gl/niBLVBvj1xLWDj6y9
RT13,13,Rick Grimes,The Walking Dead,Serie,1,0,null,55,2,2,https://photos.app.goo.gl/YAwF8Ey9Xi5Tnmpx7
GT35,35,Glenn,The Walking Dead,Serie,2,0,null,75,2,2,https://photos.app.goo.gl/kff6BS9QzUa6E8sX8
MT38,38,Michonne,The Walking Dead,Serie,2,0,null,40,4,4,https://photos.app.goo.gl/Qg6v8KQrBRWxkZ2H6
BD02,2,Buzz Lightyear,Disney,Colección,Toy Story,0,null,200,1,1,https://photos.app.goo.gl/YmgMEg29dMbSKJGJ8
WD03,3,Woody,Disney,Colección,Toy Story,0,null,215,1,1,https://photos.app.goo.gl/TNBdLPK4pZP5EoicA
LD13,13,Lotso,Disney,Colección,Toy Story,0,null,108,2,2,https://photos.app.goo.gl/ki1wDsxjoAY1DvWh6
MD17,17,Mr. Incredible,Disney,Colección,The incredibles,0,null,180,2,2,https://photos.app.goo.gl/DKa1eWxoFit1Dbr19
SD18,18,Syndrome,Disney,Colección,The incredibles,0,null,250,1,1,https://photos.app.goo.gl/7YzUeQP9LcmTZuTL6
ED29,29,Elastigirl,Disney,Colección,The incredibles,0,null,165,2,2,https://photos.app.goo.gl/vK4J7VaguKqTE6QdA
MD363,363,Mr. Incredible,Disney,Colección,The incredibles 2,0,null,50,4,4,https://photos.app.goo.gl/F28H6QiAGErcBf33A
